datetime,followed_by,following,media
2018-04-13 17:18:17,72396,40,136
2018-04-13 17:20:05,72404,40,136
2018-04-13 17:30:04,72463,40,136
2018-04-13 17:40:04,72520,40,136
2018-04-13 17:50:04,72565,40,136
2018-04-13 18:00:04,72613,40,137
2018-04-13 18:10:04,72661,40,137
2018-04-13 18:18:57,72719,40,137
2018-04-13 18:20:04,72721,40,137
2018-04-13 18:30:05,72790,40,137
2018-04-13 18:40:05,72851,40,137
2018-04-13 18:50:04,72911,40,137
2018-04-13 19:00:04,72977,40,137
2018-04-13 19:20:04,73062,40,137
2018-04-13 19:30:04,73123,40,137
2018-04-13 19:40:05,73169,40,137
2018-04-13 19:50:04,73235,40,137
2018-04-13 20:00:04,73299,40,137
2018-04-13 20:10:04,73364,40,137
2018-04-13 20:20:04,73433,40,137
2018-04-13 20:30:04,73487,40,137
2018-04-13 20:40:04,73559,40,137
2018-04-13 20:50:04,73637,40,137
2018-04-13 21:00:04,73707,40,137
2018-04-13 21:10:04,73769,40,137
2018-04-13 21:20:04,73815,40,137
2018-04-13 21:30:04,73892,40,137
2018-04-13 21:40:04,73960,40,137
2018-04-13 21:50:04,74037,40,137
2018-04-13 22:00:04,74108,40,137
2018-04-13 22:10:04,74183,40,137
2018-04-13 22:20:04,74262,40,137
2018-04-13 22:30:04,74307,39,137
2018-04-13 22:40:04,74439,39,137
2018-04-13 22:50:04,74501,39,137
2018-04-13 23:00:04,74561,39,137
2018-04-13 23:10:04,74602,39,137
2018-04-13 23:20:03,74643,39,137
2018-04-13 23:30:03,74683,39,137
2018-04-13 23:40:04,74712,39,137
2018-04-13 23:50:03,74744,39,137
2018-04-14 00:00:04,74762,39,137
2018-04-14 00:10:04,74775,39,137
2018-04-14 00:20:04,74794,39,137
2018-04-14 00:30:04,74818,39,137
2018-04-14 00:40:04,74833,39,137
2018-04-14 00:50:04,74844,39,137
2018-04-14 01:00:04,74859,39,137
2018-04-14 01:10:04,74869,39,137
2018-04-14 01:20:05,74875,39,137
2018-04-14 01:30:04,74880,39,137
2018-04-14 01:40:04,74885,39,137
2018-04-14 01:50:05,74888,39,137
2018-04-14 02:00:04,74894,39,137
2018-04-14 02:10:04,74901,39,137
2018-04-14 02:20:04,74907,39,137
2018-04-14 02:30:04,74911,39,137
2018-04-14 02:40:04,74914,39,137
2018-04-14 02:50:04,74915,39,137
2018-04-14 03:00:04,74915,39,137
2018-04-14 03:10:05,74915,39,137
2018-04-14 03:20:04,74918,39,137
2018-04-14 03:30:04,74921,39,137
2018-04-14 03:40:05,74921,39,137
2018-04-14 03:50:05,74923,39,137
2018-04-14 04:00:04,74924,39,137
2018-04-14 04:10:04,74928,39,137
2018-04-14 04:20:04,74929,39,137
2018-04-14 04:30:04,74930,39,137
2018-04-14 04:40:04,74931,39,137
2018-04-14 04:50:05,74931,39,137
2018-04-14 05:00:05,74932,39,137
2018-04-14 05:10:05,74932,39,137
2018-04-14 05:20:05,74932,39,137
2018-04-14 05:30:04,74932,39,137
2018-04-14 05:40:03,74932,39,137
2018-04-14 05:50:04,74935,39,137
2018-04-14 06:00:04,74935,39,137
2018-04-14 06:10:04,74938,39,137
2018-04-14 06:20:04,74941,39,137
2018-04-14 06:30:04,74934,39,137
2018-04-14 06:40:04,74936,39,137
2018-04-14 06:50:04,74936,39,137
2018-04-14 07:00:04,74939,39,137
2018-04-14 07:10:04,74948,39,137
2018-04-14 07:20:04,74951,39,137
2018-04-14 07:30:04,74962,39,137
2018-04-14 07:40:05,74976,39,137
2018-04-14 07:50:04,74996,39,137
2018-04-14 08:00:04,75014,39,137
2018-04-14 08:10:03,75029,39,137
2018-04-14 08:20:03,75052,39,137
2018-04-14 08:30:04,75069,39,137
2018-04-14 08:40:03,75089,39,137
2018-04-14 08:50:04,75114,39,137
2018-04-14 09:00:03,75143,39,137
2018-04-14 09:10:04,75174,39,137
2018-04-14 09:20:04,75206,39,137
2018-04-14 09:30:04,75230,39,137
2018-04-14 09:40:04,75257,39,137
2018-04-14 09:50:04,75287,39,137
2018-04-14 10:00:04,75320,39,137
2018-04-14 10:10:04,75341,39,137
2018-04-14 10:20:04,75368,39,137
2018-04-14 10:30:04,75394,39,137
2018-04-14 10:40:04,75418,39,137
2018-04-14 10:50:04,75447,39,137
2018-04-14 11:00:04,75469,39,137
2018-04-14 11:10:03,75493,39,137
2018-04-14 11:20:03,75527,39,137
2018-04-14 11:30:03,75565,39,137
2018-04-14 11:40:03,75587,39,137
2018-04-14 11:50:04,75613,39,137
2018-04-14 12:00:03,75642,39,137
2018-04-14 12:10:04,75678,39,137
2018-04-14 12:20:04,75701,39,137
2018-04-14 12:30:04,75732,39,137
2018-04-14 12:40:04,75760,39,137
2018-04-14 12:50:04,75792,39,137
2018-04-14 13:00:04,75820,39,137
2018-04-14 13:10:04,75854,39,137
2018-04-14 13:20:04,75883,39,137
2018-04-14 13:30:05,75913,39,137
2018-04-14 13:40:04,75935,39,137
2018-04-14 13:50:04,75958,39,137
2018-04-14 14:00:09,75988,39,137
2018-04-14 14:10:05,76013,39,137
2018-04-14 14:20:04,76028,39,137
2018-04-14 14:40:04,76075,39,137
2018-04-14 14:50:05,76102,39,137
2018-04-14 15:00:04,76124,39,137
2018-04-14 15:10:03,76149,39,137
2018-04-14 15:20:03,76166,39,137
2018-04-14 15:30:03,76193,39,137
2018-04-14 15:40:03,76211,39,137
2018-04-14 15:50:04,76235,39,137
2018-04-14 16:00:04,76272,39,137
2018-04-14 16:10:04,76286,39,137
2018-04-14 16:20:03,76306,39,137
2018-04-14 16:30:04,76323,39,137
2018-04-14 16:40:04,76341,39,137
2018-04-14 16:50:04,76351,39,137
2018-04-14 17:00:04,76372,39,137
2018-04-14 17:10:04,76388,39,137
2018-04-14 17:20:04,76398,39,137
2018-04-14 17:30:04,76418,39,137
